timestamp,turbidity,dissolved_oxygen,turbidity_setpoint,do_setpoint,coagulant_dose,aeration_rate
2023-01-01T13:11:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:12:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:13:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:14:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:15:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:16:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:17:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:18:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:19:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:20:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:21:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:22:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:23:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:24:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:25:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:26:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:27:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:28:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:29:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:30:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:31:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:32:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:33:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:34:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:35:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:36:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:37:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:38:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:39:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:40:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:41:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:42:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:43:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:44:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:45:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:46:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:47:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:48:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:49:00,0.09765625,8.368279525945656,5.0,8.5,0,20
2023-01-01T13:50:00,0.09765625,8.368279525945654,5.0,8.5,0,20
2023-01-01T13:51:00,0.09765625,8.368279525945656,5.0,8.5,0,20
