timestamp,turbidity,dissolved_oxygen,turbidity_setpoint,do_setpoint,coagulant_dose,aeration_rate
2023-01-01T12:00:00,25.0,4.0,5.0,8.5,10,6.84
2023-01-01T12:01:00,25.0,3.92,5.0,8.5,2.44,7.5016
2023-01-01T12:02:00,25.0,3.8416,5.0,8.5,2.46,8.620368000000001
2023-01-01T12:03:00,25.0,3.764768,5.0,8.5,2.48,9.75416064
2023-01-01T12:04:00,25.0,3.68947264,5.0,8.5,2.5,10.9026774272
2023-01-01T12:05:00,25.0,3.6156831872,5.0,8.5,2.52,12.065623878655998
2023-01-01T12:06:00,12.5,4.96766718112894,5.0,8.5,0,11.07777896142001
2023-01-01T12:07:00,10.975,5.880679038677104,5.0,8.5,0.0879749999999998,10.60231255749133
2023-01-01T12:08:00,9.625074999999999,6.554590484672449,5.0,8.5,0.0181465749999995,10.245518956824258
2023-01-01T12:09:00,8.431565699999998,7.045177463886692,5.0,8.5,0,9.995207986390206
